年份,城市,省份,省份代码,城市代码,地区生产总值(万元),"常住人口
(万人)","户籍人口数
(万人)","行政区域土地面积
(平方公里)",进出口总额（百万人民币）,出口总额(百万人民币),进口总额(百万人民币),第一产业增加值(万元),第二产业增加值(万元),第三产业增加值(万元),第一产业增加值占GDP比重(%),第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),普通高等学校在校学生数(万人),互联网宽带接入用户(万人）),年末金融机构各项贷款余额(万元),年末金融机构存款余额(万元),"一般公共预算支出_教育
(万元)","一般公共预算
支出_科学技术(万元)","一般公共预算支出
(万元)","一般公共
预算收入
(万元)","移动电话年末用户数
(万户)"
2000,北京市,北京市,110000,110000,32779000.0,1363.6,1113.5263,16808,408956.323199341,99085.4800127712,309870.84318657,793000.0,10237000.0,21749000.0,0.0241923182525397,0.312303609017969,0.663504072729491,28.03,,86857258.0,137457223.0,600700.0,270741.8265,4430000.0,3450000.0,461.0
2001,北京市,北京市,110000,110000,38616000.0,1385.1,1127.893,16800,426249.655802412,97439.841441057,328809.814361355,808000.0,11272000.0,26536000.0,0.020923969339134,0.291899730681583,0.687176299979283,33.65,1090.0,96851287.0,156924699.0,722600.0,315404.8948,5591100.0,4541700.0,629.0
2002,北京市,北京市,110000,110000,45257000.0,1423.2,1142.8302,16800,434581.014100474,104403.69494762,330177.319152854,824000.0,12351000.0,32082000.0,0.0182071281790662,0.272908058421902,0.708884813399032,39.57,3229.327,107998081.0,179218779.0,858200.0,368295.1784,6283500.0,5339900.0,920.0
2003,北京市,北京市,110000,110000,52672000.0,1456.4,1154.0633,16800,566975.904532407,139772.222474247,427203.68205816,841000.0,14564000.0,37267000.0,0.015966737545565,0.276503645200486,0.707529617253949,45.45,3980.0,120430934.0,204759796.0,988200.0,431075.8457,7348000.0,5925400.0,1109.0
2004,北京市,北京市,110000,110000,62525000.0,1492.7,1167.7592,16800,782784.35946331,170247.620320366,612536.739142944,854000.0,17737000.0,43934000.0,0.0136585365853659,0.283678528588565,0.70266293482607,49.95,3134.3425,135774452.0,237813488.0,1213900.0,505774.7624,8982800.0,7444900.0,1336.0
2005,北京市,北京市,110000,110000,71498000.0,1538.0,1184.1423,16410,1028110.98388426,252844.19823173,775266.78565253,869000.0,19074000.0,51555000.0,0.0121541861310806,0.266776693054351,0.721069120814568,54.83,2288.685,153354632.0,289700120.0,1458700.0,594870.4976,10583100.0,9192100.0,1460.0
2006,北京市,北京市,110000,110000,83870000.0,1601.0,1197.6,16411,1259836.38883438,302561.526412157,957274.862422224,872000.0,20721000.0,62277000.0,0.0103970430428043,0.247060927626088,0.742542029331108,56.58,2811.683,148848355.0,303732938.0,1751800.0,701400.0,12968400.0,11171500.0,1571.0
2007,北京市,北京市,110000,110000,104256000.0,1676.0,1213.3,16411,1467570.18269723,372036.299626216,1095533.88307101,994000.0,24134000.0,79128000.0,0.00953422344996931,0.231487875997545,0.758977900552486,57.82,3471.529,171510538.0,342862942.0,2630000.0,907400.0,16495000.0,14926400.0,1598.0
2008,北京市,北京市,110000,110000,118132000.0,1771.0,1229.9,16411,1886934.35083082,399340.533285233,1487593.81754559,1114000.0,25267000.0,91751000.0,0.00943012900822808,0.213887854264721,0.776682016727051,58.56,3826.884,192811049.0,405126722.0,3163000.0,1121900.0,19592900.0,18373200.0,1616.0
2009,北京市,北京市,110000,110000,129009000.0,1860.0,1245.8255,16411,1467237.5170497,330333.9843672,1136903.5326825,1168000.0,27364000.0,100477000.0,0.00905363191715307,0.212109232689192,0.778837135393655,58.67,4516.851,243649662.0,527302569.0,3656700.0,1263100.0,23193700.0,20268100.0,1825.0
2010,北京市,北京市,110000,110000,149640000.0,1961.9,1257.7973,16411,2042096.10546434,375297.145925383,1666798.95953896,1228000.0,32331000.0,116081000.0,0.00820636193531141,0.216058540497193,0.775735097567495,58.71,5455.639,281750343.0,620418389.0,4502200.0,1789200.0,27173200.0,23539300.0,2118.0
2011,北京市,北京市,110000,110000,171888000.0,2023.8,1277.9233,16411,2516239.57134625,381054.354467576,2135185.21687867,1345000.0,35633000.0,134910000.0,0.00782486270129387,0.207303593037327,0.78487154426138,58.79,5233.645,317912891.0,698838733.0,5200800.0,1830700.0,32452300.0,30062800.0,2576.0
2012,北京市,北京市,110000,110000,190247000.0,2077.5,1297.4597,16411,2576177.66927175,376427.784006188,2199749.88526556,1484000.0,38560000.0,150203000.0,0.00780038581423097,0.202683879377861,0.789515734807908,59.12,5719.603,345179846.0,778760000.0,6286500.0,1999400.0,36853100.0,33149300.0,3168.0
2013,北京市,北京市,110000,110000,211346000.0,2125.4,1316.3354,16411,2662714.9015537,390775.852662811,2271939.04889089,1598000.0,41683000.0,168065000.0,0.00756106100896161,0.197226349209353,0.795212589781685,59.89,5346.979,382214492.0,837612980.0,6811800.0,2346700.0,41736600.0,36611100.0,3374.0
2014,北京市,北京市,110000,110000,229261000.0,2171.1,1333.4004,16411,2552567.47086571,382917.410017874,2169650.06084784,1592000.0,44330000.0,183339000.0,0.00694405066714356,0.193360405825675,0.799695543507182,60.46,5530.0,424452990.0,905458756.0,7420500.0,2827100.0,45246700.0,40271600.0,4076.0
2015,北京市,北京市,110000,110000,247791000.0,2188.3,1345.2653,16411,1989451.610944,340480.281868,1648971.329076,1404000.0,44198000.0,202189000.0,0.0056660653534632,0.178368060179748,0.815965874466789,60.36,4917.0,488531687.0,1222842876.0,8556700.0,2878000.0,57377000.0,47238600.0,4052.0
2016,北京市,北京市,110000,110000,270412900.0,2195.4,1362.8628,16411,1875648.422928,345531.250386,1530117.172542,1297900.0,46658000.0,222457000.0,0.0047996970558727,0.172543543595738,0.822656759348389,59.92,4755.0,566188715.0,1327919063.0,8873700.0,2857800.0,64067700.0,50812600.0,3869.0
2017,北京市,北京市,110000,110000,298830000.0,2194.4,1359.1948,16406,2185696.59145101,395000.862701425,1790695.72874959,1219000.0,50494000.0,247117000.0,0.00407924237860991,0.168972325402403,0.826948432218987,59.29,5416.0,633825000.0,1379521000.0,9646200.0,3617600.0,68245300.0,54307900.0,3752.0
2018,北京市,北京市,110000,110000,331059700.0,2191.7,1375.826,16406,2729189.51743929,490814.214421246,2238375.30301804,1205600.0,54773500.0,275080600.0,0.0036416392572095,0.165449011160223,0.830909349582568,59.49,6347.0,704836718.0,1570922324.0,10255100.0,4258700.0,74714300.0,57859200.0,4009.0
2019,北京市,北京市,110000,110000,354451600.0,2190.1,1392.0957,16410,2871680.0066955,517729.38966,2353950.6170355,1143800.0,56674000.0,296633800.0,0.0032269567974866,0.159892069890501,0.836880973312012,60.15,6885.455,735759400.0,1643494898.0,11371800.0,4334200.0,74081900.0,58171000.0,4020.0
2020,北京市,北京市,110000,110000,359433000.0,2189.31,1395.4758,16410,2310970.06823825,462238.815822062,1848731.25241619,1083000.0,57391000.0,300959000.0,0.00301307893265226,0.159670926153136,0.837315994914212,59.0,7478.096,810351930.0,1811055634.0,11382900.0,4109600.0,71161800.0,54838900.0,3996.0
2021,北京市,北京市,110000,110000,410456000.0,2188.6,1408.7582,16410,3038812.85233476,610579.431731016,2428233.42060374,1114000.0,73890000.0,335452000.0,0.00271405461243105,0.180019295612684,0.817266649774885,59.6,8063.0,860775028.0,1921043104.0,11478300.0,4494500.0,72051200.0,59323100.0,3972.0
2022,北京市,北京市,110000,110000,415408000.0,2184.3,1425.6206,16410,3675807.73707876,593044.32353622,3082763.41354254,1115000.0,66356000.0,347937000.0,0.00268410815391134,0.159736933328198,0.837578958517891,60.3,8773.0,954968928.0,2124467258.0,11711200.0,4887000.0,74691500.0,57143600.0,3927.0
2023,北京市,北京市,110000,110000,437607000.0,2185.8,1427.0023,16410,3655441.03604755,600890.774975443,3054550.26107211,1055000.0,65256000.0,371296000.0,0.00241083894910273,0.149120100912463,0.848469060138435,61.8,9334.0,1086011627.0,2404386126.0,12279000.0,5219100.0,79712500.0,61811000.0,4021.0
2024,北京市,北京市,110000,110000,498431000.0,2183.2,1436.84817852471,16410,3608352.2256,606548.3563,3001803.8693,1164000.0,72268000.0,424999000.0,0.00233532826008013,0.144990981700576,0.852673690039343,63.4,1978.4,1171777696.09029,2519675361.90569,12471500.0,5652000.0,83964800.0,63726800.0,4021.1
2000,天津市,天津市,120000,120000,15916700.0,1001.14,918.7106,11920,345194.783328861,174128.162978318,171066.620350543,736900.0,7947500.0,7232300.0,0.0462972852412875,0.499318326034919,0.454384388723793,11.77,,23779385.0,25264904.0,308700.0,100351.1347,1870500.0,1336100.0,159.0
2001,天津市,天津市,120000,120000,17568900.0,1004.06,923.7475,11920,347632.114487502,176616.365138166,171015.749349336,787300.0,8587600.0,8194000.0,0.0448121396331017,0.488795542122728,0.46639231824417,15.4,1090.0,26723141.0,29382628.0,362600.0,108346.4466,2346700.0,1636400.0,214.0
2002,天津市,天津市,120000,120000,19268700.0,1007.18,926.9867,11920,344681.670788062,173536.84292475,171144.827863312,842100.0,9314600.0,9112000.0,0.0437030002024008,0.483405730537089,0.472891269260511,19.69,3229.327,30180075.0,34339146.0,415700.0,118160.2313,2652100.0,2097000.0,306.0
2003,天津市,天津市,120000,120000,22578100.0,1011.3,932.1629,11920,347678.858202035,177314.106928914,170364.751273121,899100.0,11376000.0,10303000.0,0.0398217741971202,0.503851076928528,0.456327148874352,24.52,3980.0,34260200.0,40335100.0,475800.0,130335.9968,3120800.0,2045300.0,383.0
2004,天津市,天津市,120000,120000,26210800.0,1023.67,938.4729,11920,347786.832064,172699.073792,175087.758272,1052800.0,13483000.0,11675000.0,0.040166648862301,0.51440627527584,0.445427075861858,28.57,3134.3425,38385900.0,47502800.0,554000.0,145626.669,3750200.0,2461800.0,423.0
2005,天津市,天津市,120000,120000,31585800.0,1042.53,942.9949,11920,437327.175054,224573.489492,212753.685562,1123800.0,16305000.0,14157000.0,0.0355792792963927,0.516212981782953,0.448207738920654,33.16,2288.685,44174500.0,56844000.0,672000.0,165094.6053,4421200.0,3318500.0,503.0
